# table	owner project
articles	:feature:article:data
feeds	:feature:rss:data
feed_folders	:feature:rss:data
bookmarks	:feature:bookmark:data
tags	:feature:bookmark:data
article_tags	:feature:bookmark:data
bookmark_folders	:feature:bookmark:data
article_folders	:feature:bookmark:data
article_summaries	:feature:summary:data
summary_tasks	:feature:summary:data
summary_article_content	:feature:summary:data
mail_accounts	:feature:mail:data
mail_labels	:feature:mail:data
mail_threads	:feature:mail:data
mail_messages	:feature:mail:data
library_items	:feature:library:data
library_sources	:feature:library:data
web_library_metadata_extractors	:feature:library:data
hidden_library_items	:feature:library:data
library_item_series	:feature:library:data
library_item_series_exclusions	:feature:library:data
library_source_series	:feature:library:data
library_audible_source_series	:feature:library:data
library_organization_tags	:feature:library:data
library_organization_collections	:feature:library:data
library_item_organization_tags	:feature:library:data
library_item_organization_collections	:feature:library:data
library_item_reading_status	:feature:library:data
library_organization_batches	:feature:library:data
library_organization_batch_items	:feature:library:data
smb_library_servers	:feature:library:data
smb_cover_prefetch_queue	:feature:library:data
smb_metadata_normalization_batches	:feature:library:data
smb_metadata_normalization_items	:feature:library:data
smb_metadata_normalization_decisions	:feature:library:data
knowledge_pages	:feature:knowledge:data
knowledge_page_sources	:feature:knowledge:data
asset_entries	:feature:asset:data
asset_categories	:feature:asset:data
asset_category_definitions	:feature:asset:data
tasks	:feature:task:data
chat_sessions	:feature:chat:data
chat_messages	:feature:chat:data
channels	:feature:youtube:data
videos	:feature:youtube:data
